# Smoke set — 50 placeholder segment IDs used by EXP-001 to prove the
# distillation loop closes end-to-end.  The audioset.py loader generates
# deterministic synthetic audio for any ytid prefixed `_smoke_`, so this
# file exercises the real CSV → loader → teacher → student → KL plumbing
# without any network access.  Real curated AudioSet IDs land in Phase 3
# under audioset_train.csv / audioset_val.csv / audioset_test.csv.
#
# Class budget: 30 crying_sobbing · 10 speech · 5 silence · 5 babbling.
# Format mirrors the public eval_segments.csv: ytid, start_s, end_s, positive_labels.
ytid,start_s,end_s,positive_labels
_smoke_cry_00,0.0,0.975,/m/0lyf6
_smoke_cry_01,0.0,0.975,/m/0lyf6
_smoke_cry_02,0.0,0.975,/m/0lyf6
_smoke_cry_03,0.0,0.975,/m/0lyf6
_smoke_cry_04,0.0,0.975,/m/0lyf6
_smoke_cry_05,0.0,0.975,/m/0lyf6
_smoke_cry_06,0.0,0.975,/m/0lyf6
_smoke_cry_07,0.0,0.975,/m/0lyf6
_smoke_cry_08,0.0,0.975,/m/0lyf6
_smoke_cry_09,0.0,0.975,/m/0lyf6
_smoke_cry_10,0.0,0.975,/m/0lyf6
_smoke_cry_11,0.0,0.975,/m/0lyf6
_smoke_cry_12,0.0,0.975,/m/0lyf6
_smoke_cry_13,0.0,0.975,/m/0lyf6
_smoke_cry_14,0.0,0.975,/m/0lyf6
_smoke_cry_15,0.0,0.975,/m/0lyf6
_smoke_cry_16,0.0,0.975,/m/0lyf6
_smoke_cry_17,0.0,0.975,/m/0lyf6
_smoke_cry_18,0.0,0.975,/m/0lyf6
_smoke_cry_19,0.0,0.975,/m/0lyf6
_smoke_cry_20,0.0,0.975,/m/0lyf6
_smoke_cry_21,0.0,0.975,/m/0lyf6
_smoke_cry_22,0.0,0.975,/m/0lyf6
_smoke_cry_23,0.0,0.975,/m/0lyf6
_smoke_cry_24,0.0,0.975,/m/0lyf6
_smoke_cry_25,0.0,0.975,/m/0lyf6
_smoke_cry_26,0.0,0.975,/m/0lyf6
_smoke_cry_27,0.0,0.975,/m/0lyf6
_smoke_cry_28,0.0,0.975,/m/0lyf6
_smoke_cry_29,0.0,0.975,/m/0lyf6
_smoke_spc_00,0.0,0.975,/m/09x0r
_smoke_spc_01,0.0,0.975,/m/09x0r
_smoke_spc_02,0.0,0.975,/m/09x0r
_smoke_spc_03,0.0,0.975,/m/09x0r
_smoke_spc_04,0.0,0.975,/m/09x0r
_smoke_spc_05,0.0,0.975,/m/09x0r
_smoke_spc_06,0.0,0.975,/m/09x0r
_smoke_spc_07,0.0,0.975,/m/09x0r
_smoke_spc_08,0.0,0.975,/m/09x0r
_smoke_spc_09,0.0,0.975,/m/09x0r
_smoke_sil_00,0.0,0.975,/m/028v0c
_smoke_sil_01,0.0,0.975,/m/028v0c
_smoke_sil_02,0.0,0.975,/m/028v0c
_smoke_sil_03,0.0,0.975,/m/028v0c
_smoke_sil_04,0.0,0.975,/m/028v0c
_smoke_bab_00,0.0,0.975,/m/07s0s5r
_smoke_bab_01,0.0,0.975,/m/07s0s5r
_smoke_bab_02,0.0,0.975,/m/07s0s5r
_smoke_bab_03,0.0,0.975,/m/07s0s5r
_smoke_bab_04,0.0,0.975,/m/07s0s5r
